order_date,product_id,LocationKey,ship_date,order_priority,ship_mode,customer_name,segment,sales,quantity,discount,profit,shipping_cost
1/01/2011,OFF-TEN-10000025,1,6/01/2011,Medium,Standard Class,Toby Braunhardt,Consumer,408,2,0%,106.14,35.46
7/03/2011,OFF-EN-10003472,11,11/03/2011,Medium,Standard Class,Paul Gonzalez,Consumer,16,2,0%,2.04,1.05
3/01/2011,OFF-BRE-10003081,12,7/01/2011,Medium,Standard Class,Jas O'Carroll,Consumer,123,2,0%,42.9,8.41
3/01/2011,OFF-ROG-10004393,12,7/01/2011,Medium,Standard Class,Jas O'Carroll,Consumer,62,2,0%,8.7,5.16
21/01/2011,OFF-PA-10002893,38,26/01/2011,Medium,Standard Class,Mark Van Huff,Consumer,19,2,0%,9.2928,0.94
21/01/2011,FUR-FU-10003194,38,26/01/2011,Medium,Standard Class,Mark Van Huff,Consumer,19,2,0%,5.79,0.64
8/02/2011,FUR-SAF-10002314,52,13/02/2011,Medium,Standard Class,Kelly Williams,Consumer,331,2,0%,119.16,0.16
13/01/2011,OFF-FEL-10001343,69,18/01/2011,Medium,Standard Class,Roger Demir,Consumer,38,2,0%,17.22,2.66
21/01/2011,OFF-ST-10003123,108,27/01/2011,Medium,Standard Class,Xylona Preis,Consumer,67,2,0%,15.9792,8.4
10/03/2011,OFF-PA-10002259,108,14/03/2011,Medium,Standard Class,Scott Williamson,Consumer,22,2,0%,10.7424,1.48
21/01/2011,TEC-AC-10004070,109,26/01/2011,Medium,Standard Class,Ryan Crowe,Consumer,495,2,0%,232.8,18.43
1/02/2011,OFF-BI-10001717,109,7/02/2011,Medium,Standard Class,Ionia McGrath,Consumer,12,2,0%,4.2,0.93
22/01/2011,FUR-BO-10003112,115,27/01/2011,Medium,Standard Class,Carl Ludwig,Consumer,259,2,0%,101.16,11.91
24/01/2011,FUR-FU-10000702,121,30/01/2011,Medium,Standard Class,Jill Matthias,Consumer,220,2,0%,8.76,16.92
31/01/2011,OFF-ST-10001057,121,6/02/2011,Medium,Standard Class,Troy Staebel,Consumer,32,2,0%,9.3,1.9
27/01/2011,OFF-EN-10000328,151,1/02/2011,Medium,Standard Class,Patrick O'Donnell,Consumer,40,2,0%,15.18,2.6
31/01/2011,FUR-NOV-10002655,157,4/02/2011,Medium,Standard Class,Bryan Davis,Consumer,334,2,0%,26.7,19.34
15/02/2011,OFF-CUI-10004536,200,20/02/2011,Medium,Standard Class,Trudy Brown,Consumer,133,2,0%,1.32,9.99
15/02/2011,OFF-STA-10004108,200,20/02/2011,Medium,Standard Class,Trudy Brown,Consumer,99,2,0%,23.82,9.19
